step,workers,intensity,rps,ops,ok,err,err_rate
0,8,4.0,3.2,95,95,0,0.0
1,101,4.0,40.4,973,973,0,0.0
2,195,4.0,78.0,1723,1722,1,0.00058
3,288,4.0,115.2,2472,2472,0,0.0
4,381,4.0,152.4,3235,3232,3,0.000927
5,474,4.0,189.6,3977,3976,1,0.000251
6,568,4.0,227.2,4693,4693,0,0.0
7,661,4.0,264.4,5335,5335,0,0.0
8,754,4.0,301.6,6220,6217,3,0.000482
9,847,4.0,338.8,6066,6066,0,0.0
10,941,4.0,376.4,6648,6648,0,0.0
11,1034,4.0,413.6,4234,4107,127,0.029995
12,1127,4.0,450.8,5991,5968,23,0.003839
13,1220,4.0,488.0,6778,6778,0,0.0
14,1314,4.0,525.6,6566,6566,0,0.0
15,1407,4.0,562.8,7069,7069,0,0.0
